ano,mes,dia,hora,convidado,onde,
2016,7,15,18:24,"Henrique Meirelles, Ministro da Fazenda e Eliseu Padilha, Ministro-Chefe da Casa Civil",Palácio do Planalto,
2016,7,18,10:00,Despachos internos,,
2016,7,18,13:00,"Eliseu Padilha, Ministro-Chefe da Casa Civil; Sérgio Etchegoyen, Ministro-Chefe de Segurança Institucional da Presidência da República; Alexandre de Moraes, Ministro da Justiça e Cidadania",Palácio do Planalto,
2016,7,18,15:10,"Gilberto Kassab, Ministro da Ciência, Tecnologia, Inovações e Comunicações",Palácio do Planalto,
2016,7,19,09:30,Conselho Nacional do Sesi,Palácio do Planalto,
2016,7,19,11:00,Reunião com ministros do Núcleo Econômico e  líderes do Governo,Palácio do Planalto,
2016,7,19,12:30,"Bruno Araújo, ministro das Cidades e Gilberto Occhi, presidente da Caixa Econômica Federal",Palácio do Planalto,
2016,7,19,15:00,Jorge Chammas - Presidente do Moinho São Jorge,Palácio do Planalto,
2016,7,19,15:30,Senador Valdir Raupp (PMDB/RO),Palácio do Planalto,
2016,7,19,17:00,"Raul Padilha, presidente e CEO da Bunge Brasil",Palácio do Planalto,
2016,7,19,17:30,"Fernando Coelho Filho, ministro de Minas e Energia; Helder Barbalho, ministro da Integração Nacional; Marcelo Cruz, secretário-executivo do Meio Ambiente; Suely Mara Vaz Guimarães de Araújo, presidente do IBAMA",Palácio do Planalto,
2016,7,19,20:00,"Senador Renan Calheiros, presidente do Congresso Nacional; Deputado Rodrigo Maia, presidente da Câmara dos Deputados",Palácio do Jaburu,
2016,7,20,09:30,Deputado Danilo Forte (PSB/CE),Palácio do Planalto,
2016,7,20,10:00,Jorge Gerdau Johannpeter  - Presidente do Conselho de Administração do Grupo Gerdau,Palácio do Planalto,
2016,7,20,10:30,Francisco Turra  - Presidente Executivo da Associação Brasileira de Proteína Animal - ABPA,Palácio do Planalto,
2016,7,20,11:00,Sanção da Lei que concede ao município de Laguna/SC o título de Capital Nacional dos Botos Pescadores,Palácio do Planalto,
2016,7,20,15:00,Joseph Couri  - Presidente do Sindicato da Micro e Pequena Indústria do Estado de São Paulo - SIMPI,Palácio do Planalto,
2016,7,20,16:00,"Cerimônia de posse do Defensor Público Federal, Carlos Eduardo Barbosa Paz","Palácio da Justiça, Slão Negro",
2016,7,20,19:00,Deputado Rodrigo Maia - Presidente da Câmara dos Deputados,Palácio do Planalto,
2016,7,20,19:30,Deputado Luis Tibé (PTdoB/MG),Palácio do Planalto,
2016,7,21,10:00,Marcelo Calero - Ministro da Cultura,Palácio do Planalto,
2016,7,21,11:15,"Dyogo Oliveira - Ministro interino do Planejamento, Desenvolvimento e Gestão",Palácio do Planalto,
2016,7,21,15:00,Sergio Rial - Presidente do Banco Santander,Palácio do Planalto,
2016,7,21,15:30,"Blairo Maggi - Ministro da Agricultura, Pecuária e Abastecimento",Palácio do Planalto,
2016,7,21,16:00,Mendonça Filho - Ministro da Educação,pa,
2016,7,21,16:30,Deputado Waldir Maranhão (PP/MA) - Primeiro Vice-Presidente da Câmara dos Deputados,Palácio do Planalto,
2016,7,22,10:00,Despachos internos,Palácio do Planalto,
2016,7,22,11:30,"Dyogo Oliveira -  Ministro Interino do Planejamento, Desenvolvimento e Gestão",Palácio do Planalto,
2016,7,25,10:00,Despacho interno,Palácio do Planalto,
2016,7,25,12:00,Senador Eduardo Braga (PMDB/AM),Palácio do Planalto,
2016,7,25,15:00,Jayme Martins de Oliveira Neto,,
2016,7,25,17:00,Fernando Coelho Filho - Ministro de Minas e Energia,Palácio do Planalto,
2016,7,25,17:15,Deputado Giacobo (PR/PR),Palácio do Planalto,
2016,7,25,19:00,Henrique Meirelles - Ministro da Fazenda,Palácio do Planalto,
2016,7,26,09:30,"Mendonça Filho, ministro da Educação; Gilberto Kassab,  ministro da Ciência, Tecnologia, Inovações e Comunicações e representantes da Comunidade Científica",Palácio do Planalto,
2016,7,26,11:00,Reunião com ministros do Núcleo de Infraestrutura,Palácio do Planalto,
2016,7,26,16:45,Senador Vicentinho Alves (PR/TO),Palácio do Planalto,
2016,7,26,17:00,Henrique Meirelles - Ministro da Fazenda,Palácio do Planalto,
2016,7,27,09:30,Paulo Rabello de Castro,,
2016,7,27,09:45,Fernando Figueiredo - Presidente-Executivo da Associação Brasileira da Indústria Química - ABIQUIM,Palácio do Planalto,
2016,7,27,10:30,Ato de assinatura de decretos de promoção dos Oficiais Generais,Palácio do Planalto,
2016,7,27,11:15,Senador Aécio Neves (PSDB MG),,
2016,7,27,12:30,Pedro Parente,,
2016,7,27,14:30,Guilherme Afif Domingos,,
2016,7,27,15:00,Marcos Pereira,,
2016,7,27,15:30,Deputado Jorge Tadeu Mudalen (DEM/SP),Palácio do Planalto,
2016,7,27,16:00,Senador Valdir Raupp (PMDB/RR),Palácio do Planalto,
2016,7,27,16:30,Senador Ricardo Ferraço (PSDB/ES),Palácio do Planalto,
2016,7,28,11:00,João Martins da Silva Júnior - Presidente da Confederação da Agricultura e Pecuária do Brasil - CNA,Palácio do Planalto,
2016,7,28,13:30,Alexandre de Moraes - Ministro da Justiça e Cidadania,Palácio do Planalto,
2016,7,28,15:00,Evandro Guimarães - Presidente Executivo do Instituto Brasileiro de Ética Concorrencial – ETCO,Palácio do Planalto,
2016,7,28,15:30,José Roberto Maciel - Presidente do Sistema Brasileiro de Televisão – SBT,Palácio do Planalto,
2016,7,28,16:00,"Henrique Meirelles, ministro da Fazenda e Rodrigo Maia, presidente da Câmara dos Deputados",Palácio do Planalto,
2016,7,28,17:00,"Henrique Meirelles, ministro da Fazenda e Dyogo Oliveira, ministro do Planejamento, Desenvolvimento e Gestão",Palácio do Planalto,
2016,7,28,17:30,Bruno Araújo - Ministro das Cidades,Palácio do Planalto,
2016,7,29,09:00,Despachos internos,,
2016,7,29,14:00,Henrique Meirelles,,
2016,7,29,17:30,Paulo Skaff,,
2016,7,29,19:00,"Raul Jungmann, ministro da Defesa; General Sérgio Etchegoyen, ministro de Segurança Institucional",Palácio do Planalto,
2016,7,30,08:30,Partida de Brasília para o Rio de Janeiro,,
2016,7,30,10:00,Chegada ao Rio de Janeiro,,
2016,7,30,10:40,Apresentação sobre a obra da Linha 4 do Metrô,Rio de Janeiro/RJ,RJ
2016,7,30,11:20,Cerimônia de Inauguração da Linha 4 do Metrô,Rio de Janeiro/RJ,RJ
2016,7,30,12:40,Partida do Rio de Janeiro para Brasília,Rio de Janeiro/RJ,RJ
2016,7,30,14:10,Chegada a Brasília,Rio de Janeiro/RJ,RJ
2016,8,1,09:30,Reunião com líderes da base aliada na Câmara dos Deputados,Palácio do Jaburu,
2016,8,1,15:15,Cerimônia para a troca de Cartas de Reconhecimento de Equivalência dos Controles Oficiais de Carne Bovina entre o Brasil e o EUA,Palácio do Planalto,
2016,8,1,17:00,Francisco Falcão - presidente do Superior Tribunal de Justiça - STJ,Palácio do Planalto,
2016,8,1,17:40,"Dyogo Oliveira - Ministro interino do Planejamento, Orçamento e Gestão",Palácio do Planalto,
2016,8,2,10:30,Senador Tasso Jereissati (PSDB/CE),Palácio do Planalto,
2016,8,2,11:30,Fernando Coelho Filho - Ministro de Minas e Energia,Palácio do Planalto,
2016,8,2,13:00,"Senador Renan Calheiros, PMDB, presidente do Senado Federal; senador Romero Jucá, PMDB/RR; senador Eunício Oliveira, PMDB/CE",Palácio do Planalto,
2016,8,2,15:00,David Powels - Presidente e Diretor Executivo da Volkswagen do Brasil,Palácio do Planalto,
2016,8,2,16:00,"Henrique Meirelles, ministro da Fazenda e Dyogo Oliveira, ministro do Planejamento, Desenvolvimento e Gestão",Palácio do Planalto,
2016,8,2,17:00,Senador Eduardo Braga (PMDB/AM),Palácio do Planalto,
2016,8,3,10:00,Hélder Barbalho - Ministro da Integração Nacional,Palácio do Planalto,
2016,8,3,10:30,Luiz Antônio Fleury Filho - ex-governador de São Paulo,Palácio do Planalto,
2016,8,3,15:00,"Senador Eduardo Lopes, líder do PRB no Senado e Presidente Nacional do PRB",Palácio do Planalto,
2016,8,3,16:00,Solenidade de apresentação de oficiais-generais recém-promovidos,Palácio do Planalto,
2016,8,3,17:30,Jackson Barreto - Governador de Sergipe,Palácio do Planalto,
2016,8,3,18:30,Deputado Arthur Virgílio Bisneto (PSDB/AM),Palácio do Planalto,
2016,8,3,19:00,"Deputado Victor Mendes (PSD/MA) e Filadelfo Mendes Neto, prefeito de Pinheiro/MA",Palácio do Planalto,
2016,8,3,19:45,Henrique Meirelles - Ministro da Fazenda,Palácio do Planalto,
2016,8,4,09:30,Despachos internos,Palácio do Planalto,
2016,8,4,14:30,Coronel Affonso Heliodoro - ex-subchefe do Gabinete Civil do Presidente Juscelino Kubitschek,Palácio do Planalto,
2016,8,5,15:00,Partida para o Rio de Janeiro/RJ,Base Aérea de Brasília,
2016,8,5,17:00,"Recepção oferecida pelo Senhor Presidente da República em exercício e senhora Marcela Temer, por ocasião dos Jogos Olímpicos Rio 2016",Palácio Itamaraty - Rio de Janeiro/RJ,RJ
2016,8,5,20:00,Cerimônia de Abertura dos Jogos Olímpicos Rio 2016,Estádio do Maracanã,RJ
