ano,mes,dia,hora,quem,,onde,
2018,2,1,17:00,"Eliseu Padilha, ministro de Estado Chefe da Casa Civil da Presidência da República; Torquato Jardim, ministro de Estado da Justiça e Segurança Pública; Raul Jungmann, ministro de Estado da Defesa; Wellington Moreira Franco, ministro de Estado Chefe da Secretaria-Geral da Presidência da República; Sergio Etchegoyen, ministro de Estado chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,2,1,18:30,"Aloysio Nunes, ministro de Estado das Relações Exteriores",,"
Palácio do Planalto",
2018,2,1,19:00,Senador José Serra (PSDB/SP),,"
Palácio do Planalto",
2018,2,1,19:20,"Colbert Martins da Silva Filho, prefeito em exercício de Feira de Santana/BA e Edson Felloni Borges, secretário municipal de Cultura, Esporte e Lazer de Feira de Santana/BA",,"
Palácio do Planalto",
2018,2,1,19:45,"Henrique Meirelles, ministro de Estado da Fazenda, e Dyogo Oliveira, ministro de Estado do Planejamento, Desenvolvimento e Gestão",,"
Palácio do Planalto",
2018,2,2,10:50,Cerimônia de Inauguração da 2ª Estação de Bombeamento do Eixo Norte do Projeto de Integração do Rio São Francisco,,"
Cabrobó/PE",
2018,2,5,09:00,"Eliseu Padilha, ministro de estado chefe da Casa Civil da Presidência da República, Torquato Jardim, ministro de estado da Justiça e Segurança Pública, Carlos Marun, ministro de estado chefe da Secretaria de Governo da Presidência da República, Sergio Etchegoyen, ministro de estado chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,2,5,10:00,Cerimônia de Lançamento do Documento Nacional de Identificação (Digital e Biométrico),,"
Palácio do Planalto",
2018,2,5,11:30,"Deputado Estadual Themístocles de Sampaio Pereira Filho (MDB/PI), Presidente da Assembleia Legislativa do Estado do Piauí; Deputado Estadual Adalclever Lopes (MDB/MG); Deputado Estadual Alencar da Silveira, (PDT/MG), 3º Secretário da Assembleia de Minas Gerais; Deputado Estadual Ciro Simoni  (PDT/RS); Deputado Estadual Coronel Chagas (PRTB/RR); Senador Elmano Ferrer, (MDB/PI); Deputado Estadual Francisco Tenório (PMN/AL); Deputado Estadual Georgiano Neto (PSD/PI); Germano Stevens, Diretor Geral da União Nacional do Legislativos e Legisladores – UNALE; Vereador Jeová Alencar (PSDB/PI), Presidente da Câmara Municipal de Teresina/PI; Deputado Estadual João Magalhães  (MDB/MG), Presidente da Comissão de Administração Pública da Assembleia de Minas Gerais; Deputado Federal Júlio Cesar (PSD/PI); Deputado Estadual Luciano Bispo (MDB/SE); Deputado Estadual Luciano Nunes (PSDB/PI), Presidente da União Nacional do Legislativos e Legisladores – UNALE; Deputada Estadual Maria Lucia Amary (PSDB/SP); Deputado Estadual Pablo Santos (MDB/PI); Deputado Estadual Tin Gomes (PHS/CE); Ivanária Sampaio, Diretora de Comunicação da ALEPI",,"
Palácio do Planalto",
2018,2,5,12:40,Deputado Fábio Ramalho (MDB/MG),,"
Palácio do Planalto",
