Tweet_id: 1112698590483439616 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 09:49:51 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Presidente Jair Bolsonaro agradece à unidade israelense que esteve em Brumadinho/MG, destacando a importância desta profissão e cita o fato ocorrido em sua vida, após conclusão do curso de Busca e Salvamento do Corpo de Bombeiros do Rio de Janeiro. http://youtu.be/Q3qlGfhZE8w  | hashtag: [] | url: {url} | replies: 773 | retweet: 2788 | likes: 22823 | link: https://twitter.com/jairbolsonaro/status/1112698590483439616 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112644935788969984 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 06:16:39 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Queremos fazer com que o Brasil se aproxime cada vez mais do que há de melhor no mundo. Logo traremos mais informações aos brasileiros! Um forte abraço! | hashtag: [] | url: {url} | replies: 1237 | retweet: 4057 | likes: 34287 | link: https://twitter.com/jairbolsonaro/status/1112644935788969984 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112644581223530497 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 06:15:14 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Também foram firmados dois acordos relativos ao plano de cooperação na área da saúde e da medicina, entre ministérios da Saúde, e uma cooperação entre Gabinete de Segurança Institucional (GSI) e a Autoridade Nacional de Cybersegurança de Israel (INCD) na área de cibersegurança. | hashtag: [] | url: {url} | replies: 306 | retweet: 3558 | likes: 30644 | link: https://twitter.com/jairbolsonaro/status/1112644581223530497 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112643908163510273 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 06:12:34 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: O acordo com o @mctic fortalece a cooperação econômica entre os países por meio de aplicações tecnológicas avançadas. Os países irão conduzir pesquisas científicas e tecnológicas conjuntas, desenvolver programas e projetos, bem como fornecer e trocar equipamentos para pesquisa. | hashtag: [] | url: {url} | replies: 106 | retweet: 1506 | likes: 9116 | link: https://twitter.com/jairbolsonaro/status/1112643908163510273 | is_retweet: None | user_rt: {user_rt} | mentions: ['mctic'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112642844295077888 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 06:08:20 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Com relação à defesa, o intuito é promover a cooperação entre as partes em matérias relacionadas a pasta. No que tange aos serviços aéreos, a intenção é concluir um acordo com o propósito de estabelecer e explorar serviços aéreos entre seus respectivos territórios. | hashtag: [] | url: {url} | replies: 124 | retweet: 1606 | likes: 10483 | link: https://twitter.com/jairbolsonaro/status/1112642844295077888 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112642589046571008 | date: 2019-04-01 | join_date: {join_date} | join_time: {join_time} | time: 06:07:19 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Brasil e Israel firmam 6 acordos de cooperação: quatro relativos a segurança pública, questões relacionadas à ciência e tecnologia, defesa e a serviços aéreos. No que se refere a segurança pública, foi firmada parceria de prevenção e combate ao crime organizado. | hashtag: [] | url: {url} | replies: 1728 | retweet: 6764 | likes: 48455 | link: https://twitter.com/jairbolsonaro/status/1112642589046571008 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112519808543801345 | date: 2019-03-31 | join_date: {join_date} | join_time: {join_time} | time: 21:59:26 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Obrigado 🇮🇱 @netanyahu ! Logo traremos mais novidades! Via @tradutores_br pic.twitter.com/dyjTFURPV8 | hashtag: [] | url: {url} | replies: 1263 | retweet: 5052 | likes: 31809 | link: https://twitter.com/jairbolsonaro/status/1112519808543801345 | is_retweet: None | user_rt: {user_rt} | mentions: ['netanyahu', 'tradutores_br'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112420504407863297 | date: 2019-03-31 | join_date: {join_date} | join_time: {join_time} | time: 15:24:50 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Reconhecendo os vínculos históricos de Jerusalém com a identidade judaica e também que a cidade é o coração político do Estado de Israel, anunciei hoje que o Brasil abrirá lá um escritório brasileiro para promoção do comércio, investimentos e intercâmbio em inovação e tecnologia. pic.twitter.com/RfMKEl9XtB | hashtag: [] | url: {url} | replies: 2007 | retweet: 5381 | likes: 34799 | link: https://twitter.com/jairbolsonaro/status/1112420504407863297 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112328676815880193 | date: 2019-03-31 | join_date: {join_date} | join_time: {join_time} | time: 09:19:57 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Chegamos há pouco em Israel. Fomos recepcionados pelo Primeiro-Ministro @netanyahu e pudemos proferir palavras à esta nação amiga e o intuito de nossa viagem. Shalom! 🇧🇷🤝🇮🇱 pic.twitter.com/TyWd5pKs0S | hashtag: [] | url: {url} | replies: 2973 | retweet: 7916 | likes: 48325 | link: https://twitter.com/jairbolsonaro/status/1112328676815880193 | is_retweet: None | user_rt: {user_rt} | mentions: ['netanyahu'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1112299055361785858 | date: 2019-03-31 | join_date: {join_date} | join_time: {join_time} | time: 07:22:14 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Ao renovar as concessões de trechos rodoviários, revisaremos todos os contratos de radares verificando a real necessidade de sua existência para que não sobrem dúvidas do enriquecimento de poucos em detrimento da paz do motorista. | hashtag: [] | url: {url} | replies: 1453 | retweet: 4889 | likes: 38744 | link: https://twitter.com/jairbolsonaro/status/1112299055361785858 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
