"2016-07-18 13:00","Eliseu Padilha, Ministro-Chefe da Casa Civil; Sérgio Etchegoyen, Ministro-Chefe de Segurança Institucional da Presidência da República; Alexandre de Moraes, Ministro da Justiça e Cidadania","
Local: Palácio do Planalto",
"2016-07-18 15:10","Gilberto Kassab, Ministro da Ciência, Tecnologia, Inovações e Comunicações","
Local: Palácio do Planalto",
"2016-07-19 09:30","Conselho Nacional do Sesi","
Local: Palácio do Planalto",
"2016-07-19 11:00","Reunião com ministros do Núcleo Econômico e  líderes do Governo","
Local: Palácio do Planalto",
"2016-07-19 12:30","Bruno Araújo, ministro das Cidades e Gilberto Occhi, presidente da Caixa Econômica Federal","
Local: Palácio do Planalto",
"2016-07-19 15:00","Jorge Chammas - Presidente do Moinho São Jorge","
Local: Palácio do Planalto",
"2016-07-19 15:30","Senador Valdir Raupp (PMDB/RO)","
Local: Palácio do Planalto",
"2016-07-19 17:00","Raul Padilha, presidente e CEO da Bunge Brasil","
Local: Palácio do Planalto",
"2016-07-19 17:30","Fernando Coelho Filho, ministro de Minas e Energia; Helder Barbalho, ministro da Integração Nacional; Marcelo Cruz, secretário-executivo do Meio Ambiente; Suely Mara Vaz Guimarães de Araújo, presidente do IBAMA","
Local: Palácio do Planalto",
"2016-07-19 20:00","Senador Renan Calheiros, presidente do Congresso Nacional; Deputado Rodrigo Maia, presidente da Câmara dos Deputados","
Local: Palácio do Jaburu",
"2016-07-20 09:30","Deputado Danilo Forte (PSB/CE)","
Local: Palácio do Planalto",
"2016-07-20 10:00","Jorge Gerdau Johannpeter  - Presidente do Conselho de Administração do Grupo Gerdau","
Local: Palácio do Planalto",
"2016-07-20 10:30","Francisco Turra  - Presidente Executivo da Associação Brasileira de Proteína Animal - ABPA","
Local: Palácio do Planalto",
"2016-07-20 11:00","Sanção da Lei que concede ao município de Laguna/SC o título de Capital Nacional dos Botos Pescadores","
Local: Palácio do Planalto",
"2016-07-20 15:00","Joseph Couri  - Presidente do Sindicato da Micro e Pequena Indústria do Estado de São Paulo - SIMPI","
Local: Palácio do Planalto",
"2016-07-20 16:00","Cerimônia de posse do Defensor Público Federal, Carlos Eduardo Barbosa Paz","
Local: Palácio da Justiça, Slão Negro",
"2016-07-20 19:00","Deputado Rodrigo Maia - Presidente da Câmara dos Deputados","
Local: Palácio do Planalto",
"2016-07-20 19:30","Deputado Luis Tibé (PTdoB/MG)","
Local: Palácio do Planalto",
"2016-07-21 10:00","Marcelo Calero - Ministro da Cultura","
Local: Palácio do Planalto",
"2016-07-21 11:15","Dyogo Oliveira - Ministro interino do Planejamento, Desenvolvimento e Gestão","
Local: Palácio do Planalto",
"2016-07-21 15:00","Sergio Rial - Presidente do Banco Santander","
Local: Palácio do Planalto ",
"2016-07-21 15:30","Blairo Maggi - Ministro da Agricultura, Pecuária e Abastecimento","
Local: Palácio do Planalto",
"2016-07-21 16:00","Mendonça Filho - Ministro da Educação","
Local: pa",
"2016-07-21 16:30","Deputado Waldir Maranhão (PP/MA) - Primeiro Vice-Presidente da Câmara dos Deputados","
Local: Palácio do Planalto ",
"2016-07-22 10:00","Despachos internos","
Local: Palácio do Planalto",
"2016-07-22 11:30","Dyogo Oliveira -  Ministro Interino do Planejamento, Desenvolvimento e Gestão","
Local: Palácio do Planalto ",
"2016-07-25 10:00","Despacho interno","
Local: Palácio do Planalto ",
"2016-07-25 12:00","Senador Eduardo Braga (PMDB/AM)","
Local: Palácio do Planalto",
"2016-07-25 15:00","Jayme Martins de Oliveira Neto ","Presidente da Associação Paulista de Magistrados - APAMAGIS",
"2016-07-25 17:00","Fernando Coelho Filho - Ministro de Minas e Energia","
Local: Palácio do Planalto",
"2016-07-25 17:15","Deputado Giacobo (PR/PR)","
Local: Palácio do Planalto",
"2016-07-25 19:00","Henrique Meirelles - Ministro da Fazenda","
Local: Palácio do Planalto",
"2016-07-26 09:30","Mendonça Filho, ministro da Educação; Gilberto Kassab,  ministro da Ciência, Tecnologia, Inovações e Comunicações e representantes da Comunidade Científica","
Local: Palácio do Planalto",
"2016-07-26 11:00","Reunião com ministros do Núcleo de Infraestrutura","
Local: Palácio do Planalto",
"2016-07-26 16:45","Senador Vicentinho Alves (PR/TO)","
Local: Palácio do Planalto",
"2016-07-26 17:00","Henrique Meirelles - Ministro da Fazenda","
Local: Palácio do Planalto",
"2016-07-27 09:30","Paulo Rabello de Castro","Presidente do Instituto Brasileiro de Geografia e Estatística - IBGE ",
"2016-07-27 09:45","Fernando Figueiredo - Presidente-Executivo da Associação Brasileira da Indústria Química - ABIQUIM","
Local: Palácio do Planalto",
"2016-07-27 10:30","Ato de assinatura de decretos de promoção dos Oficiais Generais","
Local: Palácio do Planalto",
"2016-07-27 11:15","Senador Aécio Neves (PSDB MG)","Presidente do PSDB",
"2016-07-27 12:30","Pedro Parente","Presidente da Petrobras",
"2016-07-27 14:30","Guilherme Afif Domingos","Presidente do SEBRAE",
"2016-07-27 15:00","Marcos Pereira","Ministro da Indústria, Comércio Exterior e Serviços",
"2016-07-27 15:30","Deputado Jorge Tadeu Mudalen (DEM/SP)","
Local: Palácio do Planalto",
"2016-07-27 16:00","Senador Valdir Raupp (PMDB/RR)","
Local: Palácio do Planalto",
"2016-07-27 16:30","Senador Ricardo Ferraço (PSDB/ES)","
Local: Palácio do Planalto",
"2016-07-28 11:00","João Martins da Silva Júnior - Presidente da Confederação da Agricultura e Pecuária do Brasil - CNA","
Local: Palácio do Planalto",
"2016-07-28 13:30","Alexandre de Moraes - Ministro da Justiça e Cidadania","
Local: Palácio do Planalto",
"2016-07-28 15:00","Evandro Guimarães - Presidente Executivo do Instituto Brasileiro de Ética Concorrencial – ETCO","
Local: Palácio do Planalto",
"2016-07-28 15:30","José Roberto Maciel - Presidente do Sistema Brasileiro de Televisão – SBT","
Local: Palácio do Planalto",
"2016-07-28 16:00","Henrique Meirelles, ministro da Fazenda e Rodrigo Maia, presidente da Câmara dos Deputados","
Local: Palácio do Planalto",
"2016-07-28 17:00","Henrique Meirelles, ministro da Fazenda e Dyogo Oliveira, ministro do Planejamento, Desenvolvimento e Gestão","
Local: Palácio do Planalto",
"2016-07-28 17:30","Bruno Araújo - Ministro das Cidades","
Local: Palácio do Planalto",
"2016-07-29 09:00","Despachos internos",
"2016-07-29 14:00","Henrique Meirelles","Ministro da Fazenda",
"2016-07-29 17:30","Paulo Skaff","Presidente da FIESP",
"2016-07-29 19:00","Raul Jungmann, ministro da Defesa; General Sérgio Etchegoyen, ministro de Segurança Institucional","
Local: Palácio do Planalto ",
"2016-07-30 08:30","Partida de Brasília para o Rio de Janeiro",
"2016-07-30 10:00","Chegada ao Rio de Janeiro",
"2016-07-30 10:40","Apresentação sobre a obra da Linha 4 do Metrô","
Local: Rio de Janeiro/RJ",
"2016-07-30 11:20","Cerimônia de Inauguração da Linha 4 do Metrô","
Local: Rio de Janeiro/RJ",
"2016-07-30 12:40","Partida do Rio de Janeiro para Brasília","
Local: Rio de Janeiro/RJ",
"2016-07-30 14:10","Chegada a Brasília","
Local: Rio de Janeiro/RJ",
